"id","dtc_code","dtc_description"
"505","P0509","Idle Air Control System Circuit High"
"506","P0510","Closed Throttle Position Switch"
"507","P0511","Idle Air Control Circuit"
"508","P0512","Starter Request Circuit"
"509","P0513","Incorrect Immobilizer Key"
"510","P0514","Battery Temperature Sensor Circuit Range/Performance"
"511","P0515","Battery Temperature Sensor Circuit"
"512","P0516","Battery Temperature Sensor Circuit Low"
"513","P0517","Battery Temperature Sensor Circuit High"
"514","P0518","Idle Air Control Circuit Intermittent"
"515","P0519","Idle Air Control System Performance"
"516","P0520","Engine Oil Pressure Sensor/Switch Circuit"
"517","P0521","Engine Oil Pressure Sensor/Switch Range/Performance"
"518","P0522","Engine Oil Pressure Sensor/Switch Low Voltage"
"519","P0523","Engine Oil Pressure Sensor/Switch High Voltage"
"520","P0524","Engine Oil Pressure Too Low"
"521","P0525","Cruise Control Servo Control Circuit Range/Performance"
"522","P0526","Fan Speed Sensor Circuit"
"523","P0527","Fan Speed Sensor Circuit Range/Performance"
"524","P0528","Fan Speed Sensor Circuit No Signal"
"525","P0529","Fan Speed Sensor Circuit Intermittent"
"526","P0530","A/C Refrigerant Pressure Sensor A Circuit"
"527","P0531","A/C Refrigerant Pressure Sensor A Circuit Range/Performance"
"528","P0532","A/C Refrigerant Pressure Sensor A Circuit Low"
"529","P0533","A/C Refrigerant Pressure Sensor A Circuit High"
"530","P0534","Air Conditioner Refrigerant Charge Loss"
"531","P0535","A/C Evaporator Temperature Sensor Circuit"
"532","P0536","A/C Evaporator Temperature Sensor Circuit Range/Performance"
"533","P0537","A/C Evaporator Temperature Sensor Circuit Low"
"534","P0538","A/C Evaporator Temperature Sensor Circuit High"
"535","P0539","A/C Evaporator Temperature Sensor Circuit Intermittent"
"536","P0540","Intake Air Heater A Circuit"
"537","P0541","Intake Air Heater A Circuit Low"
"538","P0542","Intake Air Heater A Circuit High"
"539","P0543","Intake Air Heater A Circuit Open"
"540","P0544","Exhaust Gas Temperature Sensor Circuit"
"541","P0545","Exhaust Gas Temperature Sensor Circuit Low"
"542","P0546","Exhaust Gas Temperature Sensor Circuit High"
"543","P0547","Exhaust Gas Temperature Sensor Circuit"
"544","P0548","Exhaust Gas Temperature Sensor Circuit Low"
"545","P0549","Exhaust Gas Temperature Sensor Circuit High"
"546","P0550","Power Steering Pressure Sensor/Switch Circuit"
"547","P0551","Power Steering Pressure Sensor/Switch Circuit Range/Performance"
"548","P0552","Power Steering Pressure Sensor/Switch Circuit Low Input"
"549","P0553","Power Steering Pressure Sensor/Switch Circuit High Input"
"550","P0554","Power Steering Pressure Sensor/Switch Circuit Intermittent"
"551","P0555","Brake Booster Pressure Sensor Circuit"
"552","P0556","Brake Booster Pressure Sensor Circuit Range/Performance"
"553","P0557","Brake Booster Pressure Sensor Circuit Low Input"
"554","P0558","Brake Booster Pressure Sensor Circuit High Input"
"555","P0559","Brake Booster Pressure Sensor Circuit Intermittent"
"556","P0560","System Voltage"
"557","P0561","System Voltage Unstable"
"558","P0562","System Voltage Low"
"559","P0563","System Voltage High"
"560","P0564","Cruise Control Multi-Function Input A Circuit"
"561","P0565","Cruise Control On Signal"
"562","P0566","Cruise Control Off Signal"
"563","P0567","Cruise Control Resume Signal"
"564","P0568","Cruise Control Set Signal"
"565","P0569","Cruise Control Coast Signal"
"566","P0570","Cruise Control Accelerate Signal"
"567","P0571","Brake Switch A Circuit"
"568","P0572","Brake Switch A Circuit Low"
"569","P0573","Brake Switch A Circuit High"
"570","P0574","Cruise Control System - Vehicle Speed Too High"
"571","P0575","Cruise Control Input Circuit"
"572","P0576","Cruise Control Input Circuit Low"
"573","P0577","Cruise Control Input Circuit High"
"574","P0578","Cruise Control Multi-Function Input A Circuit Stuck"
"575","P0579","Cruise Control Multi-Function Input A Circuit Range/Performance"
"576","P0580","Cruise Control Multi-Function Input A Circuit Low"
"577","P0581","Cruise Control Multi-Function Input A Circuit High"
"578","P0582","Cruise Control Vacuum Control Circuit/Open"
"579","P0583","Cruise Control Vacuum Control Circuit Low"
"580","P0584","Cruise Control Vacuum Control Circuit High"
"581","P0585","Cruise Control Multi-Function Input A/B Correlation"
"582","P0586","Cruise Control Vent Control Circuit/Open"
"583","P0587","Cruise Control Vent Control Circuit Low"
"584","P0588","Cruise Control Vent Control Circuit High"
"585","P0589","Cruise Control Multi-Function Input B Circuit"
"586","P0590","Cruise Control Multi-Function Input B Circuit Stuck"
"587","P0591","Cruise Control Multi-Function Input B Circuit Range/Performance"
"588","P0592","Cruise Control Multi-Function Input B Circuit Low"
"589","P0593","Cruise Control Multi-Function Input B Circuit High"
"590","P0594","Cruise Control Servo Control Circuit/Open"
"591","P0595","Cruise Control Servo Control Circuit Low"
"592","P0596","Cruise Control Servo Control Circuit High"
"593","P0597","Thermostat Heater Control Circuit/Open"
"594","P0598","Thermostat Heater Control Circuit Low"
"595","P0599","Thermostat Heater Control Circuit High"
"596","P0600","Serial Communication Link"
"597","P0601","Internal Control Module Memory Check Sum Error"
"598","P0602","Control Module Programming Error"
"599","P0603","Internal Control Module Keep Alive Memory (KAM) Error"
"600","P0604","Internal Control Module Random Access Memory (RAM) Error"
"601","P0605","Internal Control Module Read Only Memory (ROM) Error"
"602","P0606","ECM/PCM Processor"
"603","P0607","Control Module Performance"
"604","P0608","Control Module VSS Output A"
"605","P0609","Control Module VSS Output B"
"606","P0610","Control Module Vehicle Options Error"
"607","P0611","Fuel Injector Control Module Performance"
"608","P0612","Fuel Injector Control Module Relay Control"
"609","P0613","TCM Processor"
"610","P0614","ECM / TCM Incompatible"
"611","P0615","Starter Relay Circuit"
"612","P0616","Starter Relay Circuit Low"
"613","P0617","Starter Relay Circuit High"
"614","P0618","Alternative Fuel Control Module KAM Error"
"615","P0619","Alternative Fuel Control Module RAM/ROM Error"
"616","P0620","Generator Control Circuit"
"617","P0621","Generator Lamp/L Terminal Circuit"
"618","P0622","Generator Field/F Terminal Circuit"
"619","P0623","Generator Lamp Control Circuit"
"620","P0624","Fuel Cap Lamp Control Circuit"
"621","P0625","Generator Field/F Terminal Circuit Low"
"622","P0626","Generator Field/F Terminal Circuit High"
"623","P0627","Fuel Pump A Control Circuit /Open"
"624","P0628","Fuel Pump A Control Circuit Low"
"625","P0629","Fuel Pump A Control Circuit High"
"626","P0630","VIN Not Programmed or Incompatible - ECM/PCM"
"627","P0631","VIN Not Programmed or Incompatible - TCM"
"628","P0632","Odometer Not Programmed - ECM/PCM"
"629","P0633","Immobilizer Key Not Programmed - ECM/PCM"
"630","P0634","PCM/ECM/TCM Internal Temperature Too High"
"631","P0635","Power Steering Control Circuit"
"632","P0636","Power Steering Control Circuit Low"
"633","P0637","Power Steering Control Circuit High"
"634","P0638","Throttle Actuator Control Range/Performance"
"635","P0639","Throttle Actuator Control Range/Performance"
"636","P0640","Intake Air Heater Control Circuit"
"637","P0641","Sensor Reference Voltage A Circuit/Open"
"638","P0642","Sensor Reference Voltage A Circuit Low"
"639","P0643","Sensor Reference Voltage A Circuit High"
"640","P0644","Driver Display Serial Communication Circuit"
"641","P0645","A/C Clutch Relay Control Circuit"
"642","P0646","A/C Clutch Relay Control Circuit Low"
"643","P0647","A/C Clutch Relay Control Circuit High"
"644","P0648","Immobilizer Lamp Control Circuit"
"645","P0649","Speed Control Lamp Control Circuit"
"646","P0650","Malfunction Indicator Lamp (MIL) Control Circuit"
"647","P0651","Sensor Reference Voltage B Circuit/Open"
"648","P0652","Sensor Reference Voltage B Circuit Low"
"649","P0653","Sensor Reference Voltage B Circuit High"
"650","P0654","Engine RPM Output Circuit"
"651","P0655","Engine Hot Lamp Output Control Circuit"
"652","P0656","Fuel Level Output Circuit"
"653","P0657","Actuator Supply Voltage A Circuit/Open"
"654","P0658","Actuator Supply Voltage A Circuit Low"
"655","P0659","Actuator Supply Voltage A Circuit High"
"656","P0660","Intake Manifold Tuning Valve Control Circuit/Open"
"657","P0661","Intake Manifold Tuning Valve Control Circuit Low"
"658","P0662","Intake Manifold Tuning Valve Control Circuit High"
"659","P0663","Intake Manifold Tuning Valve Control Circuit/Open"
"660","P0664","Intake Manifold Tuning Valve Control Circuit Low"
"661","P0665","Intake Manifold Tuning Valve Control Circuit High"
"662","P0666","PCM/ECM/TCM Internal Temperature Sensor Circuit"
"663","P0667","PCM/ECM/TCM Internal Temperature Sensor Range/Performance"
"664","P0668","PCM/ECM/TCM Internal Temperature Sensor Circuit Low"
"665","P0669","PCM/ECM/TCM Internal Temperature Sensor Circuit High"
"666","P0670","Glow Plug Module Control Circuit"
"667","P0671","Cylinder 1 Glow Plug Circuit"
"668","P0672","Cylinder 2 Glow Plug Circuit"
"669","P0673","Cylinder 3 Glow Plug Circuit"
"670","P0674","Cylinder 4 Glow Plug Circuit"
"671","P0675","Cylinder 5 Glow Plug Circuit"
"672","P0676","Cylinder 6 Glow Plug Circuit"
"673","P0677","Cylinder 7 Glow Plug Circuit"
"674","P0678","Cylinder 8 Glow Plug Circuit"
"675","P0679","Cylinder 9 Glow Plug Circuit"
"676","P0680","Cylinder 10 Glow Plug Circuit"
"677","P0681","Cylinder 11 Glow Plug Circuit"
"678","P0682","Cylinder 12 Glow Plug Circuit"
"679","P0683","Glow Plug Control Module to PCM Communication Circuit"
"680","P0684","Glow Plug Control Module to PCM Communication Circuit Range/Performance"
"681","P0685","ECM/PCM Power Relay Control Circuit /Open"
"682","P0686","ECM/PCM Power Relay Control Circuit Low"
"683","P0687","ECM/PCM Power Relay Control Circuit High"
"684","P0688","ECM/PCM Power Relay Sense Circuit /Open"
"685","P0689","ECM/PCM Power Relay Sense Circuit Low"
"686","P0690","ECM/PCM Power Relay Sense Circuit High"
"687","P0691","Fan 1 Control Circuit Low"
"688","P0692","Fan 1 Control Circuit High"
"689","P0693","Fan 2 Control Circuit Low"
"690","P0694","Fan 2 Control Circuit High"
"691","P0695","Fan 3 Control Circuit Low"
"692","P0696","Fan 3 Control Circuit High"
"693","P0697","Sensor Reference Voltage C Circuit/Open"
"694","P0698","Sensor Reference Voltage C Circuit Low"
"695","P0699","Sensor Reference Voltage C Circuit High"
"696","P0700","Transmission Control System (MIL Request)"
"697","P0701","Transmission Control System Range/Performance"
"698","P0702","Transmission Control System Electrical"
"699","P0703","Brake Switch B Circuit"
"700","P0704","Clutch Switch Input Circuit Malfunction"
"701","P0705","Transmission Range Sensor Circuit Malfunction (PRNDL Input)"
"702","P0706","Transmission Range Sensor Circuit Range/Performance"
"703","P0707","Transmission Range Sensor Circuit Low"
"704","P0708","Transmission Range Sensor Circuit High"
"705","P0709","Transmission Range Sensor Circuit Intermittent"
"706","P0710","Transmission Fluid Temperature Sensor A Circuit"
"707","P0711","Transmission Fluid Temperature Sensor A Circuit Range/Performance"
"708","P0712","Transmission Fluid Temperature Sensor A Circuit Low"
"709","P0713","Transmission Fluid Temperature Sensor A Circuit High"
"710","P0714","Transmission Fluid Temperature Sensor A Circuit Intermittent"
"711","P0715","Input/Turbine Speed Sensor A Circuit"
"712","P0716","Input/Turbine Speed Sensor A Circuit Range/Performance"
"713","P0717","Input/Turbine Speed Sensor A Circuit No Signal"
"714","P0718","Input/Turbine Speed Sensor A Circuit Intermittent"
"715","P0719","Brake Switch B Circuit Low"
"716","P0720","Output Speed Sensor Circuit"
"717","P0721","Output Speed Sensor Circuit Range/Performance"
"718","P0722","Output Speed Sensor Circuit No Signal"
"719","P0723","Output Speed Sensor Circuit Intermittent"
"720","P0724","Brake Switch B Circuit High"
"721","P0725","Engine Speed Input Circuit"
"722","P0726","Engine Speed Input Circuit Range/Performance"
"723","P0727","Engine Speed Input Circuit No Signal"
"724","P0728","Engine Speed Input Circuit Intermittent"
"725","P0729","Gear 6 Incorrect Ratio"
"726","P0730","Incorrect Gear Ratio"
"727","P0731","Gear 1 Incorrect Ratio"
"728","P0732","Gear 2 Incorrect Ratio"
"729","P0733","Gear 3 Incorrect Ratio"
"730","P0734","Gear 4 Incorrect Ratio"
"731","P0735","Gear 5 Incorrect Ratio"
"732","P0736","Reverse Incorrect Ratio"
"733","P0737","TCM Engine Speed Output Circuit"
"734","P0738","TCM Engine Speed Output Circuit Low"
"735","P0739","TCM Engine Speed Output Circuit High"
"736","P0740","Torque Converter Clutch Circuit/Open"
"737","P0741","Torque Converter Clutch Circuit Performance or Stuck Off"
"738","P0742","Torque Converter Clutch Circuit Stuck On"
"739","P0743","Torque Converter Clutch Circuit Electrical"
"740","P0744","Torque Converter Clutch Circuit Intermittent"
"741","P0745","Pressure Control Solenoid A"
"742","P0746","Pressure Control Solenoid A Performance or Stuck Off"
"743","P0747","Pressure Control Solenoid A Stuck On"
"744","P0748","Pressure Control Solenoid A Electrical"
"745","P0749","Pressure Control Solenoid A Intermittent"
"746","P0750","Shift Solenoid A"
"747","P0751","Shift Solenoid A Performance or Stuck Off"
"748","P0752","Shift Solenoid A Stuck On"
"749","P0753","Shift Solenoid A Electrical"
"750","P0754","Shift Solenoid A Intermittent"
"751","P0755","Shift Solenoid B"
"752","P0756","Shift Solenoid B Performance or Stuck Off"
"753","P0757","Shift Solenoid B Stuck On"
"754","P0758","Shift Solenoid B Electrical"
"755","P0759","Shift Solenoid B Intermittent"
"756","P0760","Shift Solenoid C"
"757","P0761","Shift Solenoid C Performance or Stuck Off"
"758","P0762","Shift Solenoid C Stuck On"
"759","P0763","Shift Solenoid C Electrical"
"760","P0764","Shift Solenoid C Intermittent"
"761","P0765","Shift Solenoid D"
"762","P0766","Shift Solenoid D Performance or Stuck Off"
"763","P0767","Shift Solenoid D Stuck On"
"764","P0768","Shift Solenoid D Electrical"
"765","P0769","Shift Solenoid D Intermittent"
"766","P0770","Shift Solenoid E"
"767","P0771","Shift Solenoid E Performance or Stuck Off"
"768","P0772","Shift Solenoid E Stuck On"
"769","P0773","Shift Solenoid E Electrical"
"770","P0774","Shift Solenoid E Intermittent"
"771","P0775","Pressure Control Solenoid B"
"772","P0776","Pressure Control Solenoid B Performance or Stuck off"
"773","P0777","Pressure Control Solenoid B Stuck On"
"774","P0778","Pressure Control Solenoid B Electrical"
"775","P0779","Pressure Control Solenoid B Intermittent"
"776","P0780","Shift Error"
"777","P0781","1-2 Shift"
"778","P0782","2-3 Shift"
"779","P0783","3-4 Shift"
"780","P0784","4-5 Shift"
"781","P0785","Shift/Timing Solenoid"
"782","P0786","Shift/Timing Solenoid Range/Performance"
"783","P0787","Shift/Timing Solenoid Low"
"784","P0788","Shift/Timing Solenoid High"
"785","P0789","Shift/Timing Solenoid Intermittent"
"786","P0790","Normal/Performance Switch Circuit"
"787","P0791","Intermediate Shaft Speed Sensor A Circuit"
"788","P0792","Intermediate Shaft Speed Sensor A Circuit Range/Performance"
"789","P0793","Intermediate Shaft Speed Sensor A Circuit No Signal"
"790","P0794","Intermediate Shaft Speed Sensor A Circuit Intermittent"
"791","P0795","Pressure Control Solenoid C"
"792","P0796","Pressure Control Solenoid C Performance or Stuck off"
"793","P0797","Pressure Control Solenoid C Stuck On"
"794","P0798","Pressure Control Solenoid C Electrical"
"795","P0799","Pressure Control Solenoid C Intermittent"
"796","P0800","Transfer Case Control System (MIL Request)"
"797","P0801","Reverse Inhibit Control Circuit"
"798","P0802","Transmission Control System MIL Request Circuit/Open"
"799","P0803","1-4 Upshift (Skip Shift) Solenoid Control Circuit"
"800","P0804","1-4 Upshift (Skip Shift) Lamp Control Circuit"
"801","P0805","Clutch Position Sensor Circuit"
"802","P0806","Clutch Position Sensor Circuit Range/Performance"
"803","P0807","Clutch Position Sensor Circuit Low"
"804","P0808","Clutch Position Sensor Circuit High"
"805","P0809","Clutch Position Sensor Circuit Intermittent"
"806","P0810","Clutch Position Control Error"
"807","P0811","Excessive Clutch Slippage"
"808","P0812","Reverse Input Circuit"
"809","P0813","Reverse Output Circuit"
"810","P0814","Transmission Range Display Circuit"
